DATE,UNRATE,FEDFUNDS,GDP,CPIAUCSL,BOPTEXP,SPY
1/1/48,3.4,,265.742,23.68,,
1/2/48,3.8,,265.742,23.67,,
1/3/48,4,,265.742,23.5,,
1/4/48,3.9,,272.567,23.82,,
1/5/48,3.5,,272.567,24.01,,
1/6/48,3.6,,272.567,24.15,,
1/7/48,3.6,,279.196,24.4,,
1/8/48,3.9,,279.196,24.43,,
1/9/48,3.8,,279.196,24.36,,
1/10/48,3.7,,280.366,24.31,,
1/11/48,3.8,,280.366,24.16,,
1/12/48,4,,280.366,24.05,,
1/1/49,4.3,,275.034,24.01,,
1/2/49,4.7,,275.034,23.91,,
1/3/49,5,,275.034,23.91,,
1/4/49,5.3,,271.351,23.92,,
1/5/49,6.1,,271.351,23.91,,
1/6/49,6.2,,271.351,23.92,,
1/7/49,6.7,,272.889,23.7,,
1/8/49,6.8,,272.889,23.7,,
1/9/49,6.6,,272.889,23.75,,
1/10/49,7.9,,270.627,23.67,,
1/11/49,6.4,,270.627,23.7,,
1/12/49,6.6,,270.627,23.61,,
1/1/50,6.5,,280.828,23.51,,
1/2/50,6.4,,280.828,23.61,,
1/3/50,6.3,,280.828,23.64,,
1/4/50,5.8,,290.383,23.65,,
1/5/50,5.5,,290.383,23.77,,
1/6/50,5.4,,290.383,23.88,,
1/7/50,5,,308.153,24.07,,
1/8/50,4.5,,308.153,24.2,,
1/9/50,4.4,,308.153,24.34,,
1/10/50,4.2,,319.945,24.5,,
1/11/50,4.2,,319.945,24.6,,
1/12/50,4.3,,319.945,24.98,,
1/1/51,3.7,,336,25.38,,
1/2/51,3.4,,336,25.83,,
1/3/51,3.4,,336,25.88,,
1/4/51,3.1,,344.09,25.92,,
1/5/51,3,,344.09,25.99,,
1/6/51,3.2,,344.09,25.93,,
1/7/51,3.1,,351.385,25.91,,
1/8/51,3.1,,351.385,25.86,,
1/9/51,3.3,,351.385,26.03,,
1/10/51,3.5,,356.178,26.16,,
1/11/51,3.5,,356.178,26.32,,
1/12/51,3.1,,356.178,26.47,,
1/1/52,3.2,,359.82,26.45,,
1/2/52,3.1,,359.82,26.41,,
1/3/52,2.9,,359.82,26.39,,
1/4/52,2.9,,361.03,26.46,,
1/5/52,3,,361.03,26.47,,
1/6/52,3,,361.03,26.53,,
1/7/52,3.2,,367.701,26.68,,
1/8/52,3.4,,367.701,26.69,,
1/9/52,3.1,,367.701,26.63,,
1/10/52,3,,380.812,26.69,,
1/11/52,2.8,,380.812,26.69,,
1/12/52,2.7,,380.812,26.71,,
1/1/53,2.9,,387.98,26.64,,
1/2/53,2.6,,387.98,26.59,,
1/3/53,2.6,,387.98,26.63,,
1/4/53,2.7,,391.749,26.69,,
1/5/53,2.5,,391.749,26.7,,
1/6/53,2.5,,391.749,26.77,,
1/7/53,2.6,,391.171,26.79,,
1/8/53,2.7,,391.171,26.85,,
1/9/53,2.9,,391.171,26.89,,
1/10/53,3.1,,385.97,26.95,,
1/11/53,3.5,,385.97,26.85,,
1/12/53,4.5,,385.97,26.87,,
1/1/54,4.9,,385.345,26.94,,
1/2/54,5.2,,385.345,26.99,,
1/3/54,5.7,,385.345,26.93,,
1/4/54,5.9,,386.121,26.86,,
1/5/54,5.9,,386.121,26.93,,
1/6/54,5.6,,386.121,26.94,,
1/7/54,5.8,0.8,390.996,26.86,,
1/8/54,6,1.22,390.996,26.85,,
1/9/54,6.1,1.07,390.996,26.81,,
1/10/54,5.7,0.85,399.734,26.72,,
1/11/54,5.3,0.83,399.734,26.78,,
1/12/54,5,1.28,399.734,26.77,,
1/1/55,4.9,1.39,413.073,26.77,,
1/2/55,4.7,1.29,413.073,26.82,,
1/3/55,4.6,1.35,413.073,26.79,,
1/4/55,4.7,1.43,421.532,26.79,,
1/5/55,4.3,1.43,421.532,26.77,,
1/6/55,4.2,1.64,421.532,26.71,,
1/7/55,4,1.68,430.221,26.76,,
1/8/55,4.2,1.96,430.221,26.72,,
1/9/55,4.1,2.18,430.221,26.85,,
1/10/55,4.3,2.24,437.092,26.82,,
1/11/55,4.2,2.35,437.092,26.88,,
1/12/55,4.2,2.48,437.092,26.87,,
1/1/56,4,2.45,439.746,26.83,,
1/2/56,3.9,2.5,439.746,26.86,,
1/3/56,4.2,2.5,439.746,26.89,,
1/4/56,4,2.62,446.01,26.93,,
1/5/56,4.3,2.75,446.01,27.03,,
1/6/56,4.3,2.71,446.01,27.15,,
1/7/56,4.4,2.75,451.191,27.29,,
1/8/56,4.1,2.73,451.191,27.31,,
1/9/56,3.9,2.95,451.191,27.35,,
1/10/56,3.9,2.96,460.463,27.51,,
1/11/56,4.3,2.88,460.463,27.51,,
1/12/56,4.2,2.94,460.463,27.63,,
1/1/57,4.2,2.84,469.779,27.67,,
1/2/57,3.9,3,469.779,27.8,,
1/3/57,3.7,2.96,469.779,27.86,,
1/4/57,3.9,3,472.025,27.93,,
1/5/57,4.1,3,472.025,28,,
1/6/57,4.3,3,472.025,28.11,,
1/7/57,4.2,2.99,479.49,28.19,,
1/8/57,4.1,3.24,479.49,28.28,,
1/9/57,4.4,3.47,479.49,28.32,,
1/10/57,4.5,3.5,474.864,28.32,,
1/11/57,5.1,3.28,474.864,28.41,,
1/12/57,5.2,2.98,474.864,28.47,,
1/1/58,5.8,2.72,467.54,28.64,,
1/2/58,6.4,1.67,467.54,28.7,,
1/3/58,6.7,1.2,467.54,28.87,,
1/4/58,7.4,1.26,471.978,28.94,,
1/5/58,7.4,0.63,471.978,28.94,,
1/6/58,7.3,0.93,471.978,28.91,,
1/7/58,7.5,0.68,485.841,28.89,,
1/8/58,7.4,1.53,485.841,28.94,,
1/9/58,7.1,1.76,485.841,28.91,,
1/10/58,6.7,1.8,499.555,28.91,,
1/11/58,6.2,2.27,499.555,28.95,,
1/12/58,6.2,2.42,499.555,28.97,,
1/1/59,6,2.48,510.33,29.01,,
1/2/59,5.9,2.43,510.33,29,,
1/3/59,5.6,2.8,510.33,28.97,,
1/4/59,5.2,2.96,522.653,28.98,,
1/5/59,5.1,2.9,522.653,29.04,,
1/6/59,5,3.39,522.653,29.11,,
1/7/59,5.1,3.47,525.034,29.15,,
1/8/59,5.2,3.5,525.034,29.18,,
1/9/59,5.5,3.76,525.034,29.25,,
1/10/59,5.7,3.98,528.6,29.35,,
1/11/59,5.8,4,528.6,29.35,,
1/12/59,5.3,3.99,528.6,29.41,,
1/1/60,5.2,3.99,542.648,29.37,,
1/2/60,4.8,3.97,542.648,29.41,,
1/3/60,5.4,3.84,542.648,29.41,,
1/4/60,5.2,3.92,541.08,29.54,,
1/5/60,5.1,3.85,541.08,29.57,,
1/6/60,5.4,3.32,541.08,29.61,,
1/7/60,5.5,3.23,545.604,29.55,,
1/8/60,5.6,2.98,545.604,29.61,,
1/9/60,5.5,2.6,545.604,29.61,,
1/10/60,6.1,2.47,540.197,29.75,,
1/11/60,6.1,2.44,540.197,29.78,,
1/12/60,6.6,1.98,540.197,29.81,,
1/1/61,6.6,1.45,545.018,29.84,,
1/2/61,6.9,2.54,545.018,29.84,,
1/3/61,6.9,2.02,545.018,29.84,,
1/4/61,7,1.49,555.545,29.81,,
1/5/61,7.1,1.98,555.545,29.84,,
1/6/61,6.9,1.73,555.545,29.84,,
1/7/61,7,1.17,567.664,29.92,,
1/8/61,6.6,2,567.664,29.94,,
1/9/61,6.7,1.88,567.664,29.98,,
1/10/61,6.5,2.26,580.612,29.98,,
1/11/61,6.1,2.61,580.612,29.98,,
1/12/61,6,2.33,580.612,30.01,,
1/1/62,5.8,2.15,594.013,30.04,,
1/2/62,5.5,2.37,594.013,30.11,,
1/3/62,5.6,2.85,594.013,30.17,,
1/4/62,5.6,2.78,600.366,30.21,,
1/5/62,5.5,2.36,600.366,30.24,,
1/6/62,5.5,2.68,600.366,30.21,,
1/7/62,5.4,2.71,609.027,30.22,,
1/8/62,5.7,2.93,609.027,30.28,,
1/9/62,5.6,2.9,609.027,30.42,,
1/10/62,5.4,2.9,612.28,30.38,,
1/11/62,5.7,2.94,612.28,30.38,,
1/12/62,5.5,2.93,612.28,30.38,,
1/1/63,5.7,2.92,621.672,30.44,,
1/2/63,5.9,3,621.672,30.48,,
1/3/63,5.7,2.98,621.672,30.51,,
1/4/63,5.7,2.9,629.752,30.48,,
1/5/63,5.9,3,629.752,30.51,,
1/6/63,5.6,2.99,629.752,30.61,,
1/7/63,5.6,3.02,644.444,30.69,,
1/8/63,5.4,3.49,644.444,30.75,,
1/9/63,5.5,3.48,644.444,30.72,,
1/10/63,5.5,3.5,653.938,30.75,,
1/11/63,5.7,3.48,653.938,30.78,,
1/12/63,5.5,3.38,653.938,30.88,,
1/1/64,5.6,3.48,669.822,30.94,,
1/2/64,5.4,3.48,669.822,30.91,,
1/3/64,5.4,3.43,669.822,30.94,,
1/4/64,5.3,3.47,678.674,30.95,,
1/5/64,5.1,3.5,678.674,30.98,,
1/6/64,5.2,3.5,678.674,31.01,,
1/7/64,4.9,3.42,692.031,31.02,,
1/8/64,5,3.5,692.031,31.05,,
1/9/64,5.1,3.45,692.031,31.08,,
1/10/64,5.1,3.36,697.319,31.12,,
1/11/64,4.8,3.52,697.319,31.21,,
1/12/64,5,3.85,697.319,31.25,,
1/1/65,4.9,3.9,717.79,31.28,,
1/2/65,5.1,3.98,717.79,31.28,,
1/3/65,4.7,4.05,717.79,31.31,,
1/4/65,4.8,4.09,730.191,31.38,,
1/5/65,4.6,4.1,730.191,31.48,,
1/6/65,4.6,4.05,730.191,31.61,,
1/7/65,4.4,4.09,749.323,31.58,,
1/8/65,4.4,4.12,749.323,31.55,,
1/9/65,4.3,4.02,749.323,31.62,,
1/10/65,4.2,4.08,771.857,31.65,,
1/11/65,4.1,4.1,771.857,31.75,,
1/12/65,4,4.32,771.857,31.85,,
1/1/66,4,4.42,795.734,31.88,,
1/2/66,3.8,4.6,795.734,32.08,,
1/3/66,3.8,4.66,795.734,32.18,,
1/4/66,3.8,4.67,804.981,32.28,,
1/5/66,3.9,4.9,804.981,32.35,,
1/6/66,3.8,5.17,804.981,32.38,,
1/7/66,3.8,5.3,819.638,32.45,,
1/8/66,3.8,5.53,819.638,32.65,,
1/9/66,3.7,5.4,819.638,32.75,,
1/10/66,3.7,5.53,833.302,32.85,,
1/11/66,3.6,5.76,833.302,32.88,,
1/12/66,3.8,5.4,833.302,32.92,,
1/1/67,3.9,4.94,844.17,32.9,,
1/2/67,3.8,5,844.17,33,,
1/3/67,3.8,4.53,844.17,33,,
1/4/67,3.8,4.05,848.983,33.1,,
1/5/67,3.8,3.94,848.983,33.1,,
1/6/67,3.9,3.98,848.983,33.3,,
1/7/67,3.8,3.79,865.233,33.4,,
1/8/67,3.8,3.9,865.233,33.5,,
